id,name,price,created_at,updated_at,category_name
12,New with luight,99999.00,Sun Apr 20 2025 18:45:06 GMT+0530 (India Standard Time),Sun Apr 20 2025 18:45:37 GMT+0530 (India Standard Time),Pc
11,Dell RGB Graphic,2999.00,Sun Apr 20 2025 18:41:04 GMT+0530 (India Standard Time),Sun Apr 20 2025 18:41:04 GMT+0530 (India Standard Time),Pc
10,Hp Pendrive 556,556.00,Sun Apr 20 2025 18:40:19 GMT+0530 (India Standard Time),Sun Apr 20 2025 18:40:19 GMT+0530 (India Standard Time),Pendrive
9,PenDrive SandDisk,126.00,Sun Apr 20 2025 18:39:48 GMT+0530 (India Standard Time),Sun Apr 20 2025 18:39:48 GMT+0530 (India Standard Time),Pendrive
8,Memory 56,76.00,Sun Apr 20 2025 18:39:21 GMT+0530 (India Standard Time),Sun Apr 20 2025 18:39:21 GMT+0530 (India Standard Time),Pendrive
7,28GB HardDisk,99.00,Sun Apr 20 2025 18:38:51 GMT+0530 (India Standard Time),Sun Apr 20 2025 18:38:51 GMT+0530 (India Standard Time),HardDrive
6,GB,90.00,Sun Apr 20 2025 18:38:21 GMT+0530 (India Standard Time),Sun Apr 20 2025 18:38:21 GMT+0530 (India Standard Time),Pc
5,PenDrive 128GB,5.00,Sun Apr 20 2025 18:37:57 GMT+0530 (India Standard Time),Sun Apr 20 2025 18:37:57 GMT+0530 (India Standard Time),Pendrive
4,Book,100.00,Fri Apr 18 2025 22:19:52 GMT+0530 (India Standard Time),Fri Apr 18 2025 22:19:52 GMT+0530 (India Standard Time),Book
3,Bok,100.00,Fri Apr 18 2025 22:19:39 GMT+0530 (India Standard Time),Fri Apr 18 2025 22:19:39 GMT+0530 (India Standard Time),HardDrive
2,aaaaaa,8978.00,Fri Apr 18 2025 22:18:11 GMT+0530 (India Standard Time),Fri Apr 18 2025 22:18:11 GMT+0530 (India Standard Time),HardDrive
1,Toy ,999.00,Fri Apr 18 2025 22:18:03 GMT+0530 (India Standard Time),Sun Apr 20 2025 18:42:05 GMT+0530 (India Standard Time),Book
