id,name,price,created_at,updated_at,category_name
41,Milk,899.00,Sat Apr 19 2025 18:14:52 GMT+0530 (India Standard Time),Sat Apr 19 2025 18:14:52 GMT+0530 (India Standard Time),AMul
40,Nokia,899.00,Sat Apr 19 2025 18:12:46 GMT+0530 (India Standard Time),Sat Apr 19 2025 18:12:46 GMT+0530 (India Standard Time),Dress
39,RGB,450000.00,Sat Apr 19 2025 18:12:28 GMT+0530 (India Standard Time),Sat Apr 19 2025 18:12:28 GMT+0530 (India Standard Time),Hard Drive
38,Mouse,89999.00,Sat Apr 19 2025 18:11:47 GMT+0530 (India Standard Time),Sat Apr 19 2025 18:11:47 GMT+0530 (India Standard Time),Hard Drive
37,Mouse,299.00,Sat Apr 19 2025 18:07:47 GMT+0530 (India Standard Time),Sat Apr 19 2025 18:07:47 GMT+0530 (India Standard Time),Desktop
36,Sdddd,5889.00,Sat Apr 19 2025 17:25:35 GMT+0530 (India Standard Time),Sat Apr 19 2025 18:15:31 GMT+0530 (India Standard Time),Hard Drive
35,Driver ssd 1250,6999.00,Sat Apr 19 2025 16:03:03 GMT+0530 (India Standard Time),Sat Apr 19 2025 16:03:03 GMT+0530 (India Standard Time),Games
34,Driver ssd,699.00,Sat Apr 19 2025 16:02:50 GMT+0530 (India Standard Time),Sat Apr 19 2025 16:02:50 GMT+0530 (India Standard Time),Games
33,Driver,699.00,Sat Apr 19 2025 16:02:46 GMT+0530 (India Standard Time),Sat Apr 19 2025 16:02:46 GMT+0530 (India Standard Time),Games
32,USB,459.00,Sat Apr 19 2025 16:02:32 GMT+0530 (India Standard Time),Sat Apr 19 2025 16:02:32 GMT+0530 (India Standard Time),Games
31,Ghaphic Card,999999.00,Sat Apr 19 2025 16:02:10 GMT+0530 (India Standard Time),Sat Apr 19 2025 16:02:10 GMT+0530 (India Standard Time),Games
28,fdsafas,54654.00,Sat Apr 19 2025 15:24:31 GMT+0530 (India Standard Time),Sat Apr 19 2025 15:24:31 GMT+0530 (India Standard Time),Hard Drive
