id,name,price,created_at,updated_at,category_name
35,Driver ssd 1250,6999.00,Sat Apr 19 2025 16:03:03 GMT+0530 (India Standard Time),Sat Apr 19 2025 16:03:03 GMT+0530 (India Standard Time),Games
34,Driver ssd,699.00,Sat Apr 19 2025 16:02:50 GMT+0530 (India Standard Time),Sat Apr 19 2025 16:02:50 GMT+0530 (India Standard Time),Games
33,Driver,699.00,Sat Apr 19 2025 16:02:46 GMT+0530 (India Standard Time),Sat Apr 19 2025 16:02:46 GMT+0530 (India Standard Time),Games
32,USB,459.00,Sat Apr 19 2025 16:02:32 GMT+0530 (India Standard Time),Sat Apr 19 2025 16:02:32 GMT+0530 (India Standard Time),Games
31,Ghaphic Card,999999.00,Sat Apr 19 2025 16:02:10 GMT+0530 (India Standard Time),Sat Apr 19 2025 16:02:10 GMT+0530 (India Standard Time),Games
28,fdsafas,54654.00,Sat Apr 19 2025 15:24:31 GMT+0530 (India Standard Time),Sat Apr 19 2025 15:24:31 GMT+0530 (India Standard Time),Hard Drive
27,Angulaar,45.00,Sat Apr 19 2025 13:13:17 GMT+0530 (India Standard Time),Sat Apr 19 2025 13:13:17 GMT+0530 (India Standard Time),School
26,test,532.00,Sat Apr 19 2025 13:12:35 GMT+0530 (India Standard Time),Sat Apr 19 2025 13:12:35 GMT+0530 (India Standard Time),body
19,Computer part,9999.00,Fri Apr 18 2025 11:31:17 GMT+0530 (India Standard Time),Fri Apr 18 2025 11:31:17 GMT+0530 (India Standard Time),Home
13,by Java,50.00,Fri Apr 18 2025 11:30:42 GMT+0530 (India Standard Time),Fri Apr 18 2025 11:30:42 GMT+0530 (India Standard Time),Home
12,by Java,30.00,Fri Apr 18 2025 11:30:27 GMT+0530 (India Standard Time),Fri Apr 18 2025 11:30:27 GMT+0530 (India Standard Time),School
11,Author by c++,20.00,Fri Apr 18 2025 11:29:52 GMT+0530 (India Standard Time),Fri Apr 18 2025 11:29:52 GMT+0530 (India Standard Time),Book
9,A1,1111.00,Thu Apr 17 2025 13:17:38 GMT+0530 (India Standard Time),Thu Apr 17 2025 13:17:38 GMT+0530 (India Standard Time),body
